6 6 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 1 -0.040000 
0.178423 0.199169 0.141079 
0.072614 0.097511 0.107884 
0.000001 0.022822 0.180497 

0.117490 0.122830 0.069426 
0.169559 0.122830 0.148197 
0.034713 0.104139 0.110814 

0.005608 0.237382 0.231775 
0.018692 0.214952 0.104673 
0.001870 0.046730 0.138318 

0.087591 0.000001 0.154744 
0.172262 0.048176 0.172262 
0.097810 0.097810 0.169343 

0.036076 0.101010 0.067821 
0.118326 0.154401 0.165945 
0.011545 0.163059 0.181818 

0.125731 0.169590 0.067252 
0.090643 0.093567 0.045322 
0.179824 0.127193 0.100877 

0.112409 0.086132 0.121168 
0.102190 0.147445 0.055475 
0.164963 0.137226 0.072993 

0.051071 0.159802 0.154860 
0.077430 0.023065 0.172981 
0.148270 0.105437 0.107084 

